Best parameters set found on development set:
0.73480 (+/-0.004) for {'C': 0.0001, 'class_weight': None, 'max_iter': 900, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001}
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 940, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 950, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 960, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 970, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 980, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 990, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1010, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1020, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.001} probability 0.163
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1030, 'penalty': 'l2', 'random_state': 42, 'solver': 'saga', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1040, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1040, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1040, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1040, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1040, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1040, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 1e-05} probability 0.177
0.72831 (+/-0.013) for {'C': 100.0, 'class_weight': None, 'max_iter': 1040, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.001} probability 0.180
